run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
Obstacles-0-20220917-13:13:45-6292,runattr,,,configname,Obstacles,,,
Obstacles-0-20220917-13:13:45-6292,runattr,,,datetime,20220917-13:13:45,,,
Obstacles-0-20220917-13:13:45-6292,runattr,,,experiment,Obstacles,,,
Obstacles-0-20220917-13:13:45-6292,runattr,,,inifile,omnetpp.ini,,,
Obstacles-0-20220917-13:13:45-6292,runattr,,,iterationvars,,,,
Obstacles-0-20220917-13:13:45-6292,runattr,,,iterationvarsf,,,,
Obstacles-0-20220917-13:13:45-6292,runattr,,,measurement,,,,
Obstacles-0-20220917-13:13:45-6292,runattr,,,network,CanvasWorld,,,
Obstacles-0-20220917-13:13:45-6292,runattr,,,processid,6292,,,
Obstacles-0-20220917-13:13:45-6292,runattr,,,repetition,0,,,
Obstacles-0-20220917-13:13:45-6292,runattr,,,replication,#0,,,
Obstacles-0-20220917-13:13:45-6292,runattr,,,resultdir,results,,,
Obstacles-0-20220917-13:13:45-6292,runattr,,,runnumber,0,,,
Obstacles-0-20220917-13:13:45-6292,runattr,,,seedset,0,,,
Obstacles-0-20220917-13:13:45-6292,param,,,*.withPhysicalEnvironment,true,,,
Obstacles-0-20220917-13:13:45-6292,param,,,*.physicalEnvironment.config,"xmldoc(""obstacles.xml"")",,,
Obstacles-0-20220917-13:13:45-6292,param,,,*.traci.core.version,-1,,,
Obstacles-0-20220917-13:13:45-6292,param,,,*.traci.launcher.typename,"""PosixLauncher""",,,
Obstacles-0-20220917-13:13:45-6292,param,,,*.traci.launcher.sumocfg,"""politecnico.sumo.cfg""",,,
Obstacles-0-20220917-13:13:45-6292,param,,,*.traci.launcher.sumo,"""sumo-gui""",,,
Obstacles-0-20220917-13:13:45-6292,param,,,*.node[*].wlan[*].typename,"""VanetNic""",,,
Obstacles-0-20220917-13:13:45-6292,param,,,*.node[*].wlan[*].radio.channelNumber,180,,,
Obstacles-0-20220917-13:13:45-6292,param,,,*.node[*].wlan[*].radio.carrierFrequency,5.9 GHz,,,
Obstacles-0-20220917-13:13:45-6292,param,,,*.node[*].wlan[*].radio.transmitter.power,200 mW,,,
Obstacles-0-20220917-13:13:45-6292,param,,,*.node[*].middleware.updateInterval,0.1s,,,
Obstacles-0-20220917-13:13:45-6292,param,,,*.node[*].middleware.datetime,"""2022-08-16 15:00:00""",,,
Obstacles-0-20220917-13:13:45-6292,param,,,*.node[*].middleware.services,"xmldoc(""services.xml"")",,,
Obstacles-0-20220917-13:13:45-6292,param,,,*.withStoryboard,true,,,
Obstacles-0-20220917-13:13:45-6292,param,,,*.storyboard.python,"""story""",,,
Obstacles-0-20220917-13:13:45-6292,param,,,*.storyboard.canvas,"""CanvasWorld""",,,
Obstacles-0-20220917-13:13:45-6292,param,,,**.safeDist,150.0 m,,,
